Function 1: f(x) = (1-x)/(1+x) - 1/(3x+1)
     x        |     error
10e-17.0      |1e-17
10e-16.0      |-1.10223024625e-17
10e-15.0      |7.99277837352e-19
10e-14.0      |7.99277837289e-18
10e-13.0      |-3.10945187966e-17
10e-12.0      |2.21217131215e-17
10e-11.0      |-8.28103710574e-19
10e-10.0      |-8.34403710051e-18
10e-9.0      |2.12819313084e-17
10e-8.0      |-8.41137515223e-17
10e-7.0      |1.07733432347e-16
10e-6.0      |6.34368385187e-17
10e-5.0      |1.15975751138e-17
10e-4.0      |1.26174027823e-17
10e-3.0      |7.09068220806e-17
10e-2.0      |3.12250225676e-17
10e-1.0      |-6.93889390391e-18
10e0.0      |0.0
     x     |    float64    |    float32    |    float16
10e-17.0      |0.0    |0.0   |0.0   
10e-16.0      |1.11022302463e-16    |1.11022302463e-16   |0.0   
10e-15.0      |9.99200722163e-16    |9.99200722163e-16   |0.0   
10e-14.0      |9.99200722163e-15    |9.99200722163e-15   |0.0   
10e-13.0      |1.00031094519e-13    |1.00031094519e-13   |0.0   
10e-12.0      |9.9997787828e-13    |9.9997787828e-13   |0.0   
10e-11.0      |1.00000008274e-11    |1.00000008274e-11   |0.0   
10e-10.0      |1.00000008274e-10    |1.00000008274e-10   |0.0   
10e-9.0      |9.99999971718e-10    |9.99999749673e-10   |0.0   
10e-8.0      |9.99999938411e-09    |9.99999927309e-09   |0.0   
10e-7.0      |9.99999298923e-08    |9.99999311135e-08   |1.19209190075e-07   
10e-6.0      |9.99992999962e-07    |9.99992997408e-07   |1.01327177404e-06   
10e-5.0      |9.99930002499e-06    |9.99929977241e-06   |1.00128784448e-05   
10e-4.0      |9.99300249921e-05    |9.99300224693e-05   |9.99465957041e-05   
10e-3.0      |0.00099302492124    |0.000993024968076   |0.000993423647207   
10e-2.0      |0.00932423339421    |0.00932423320038   |0.00932608589521   
10e-1.0      |0.048951048951    |0.0489510491332   |0.0489480626547   
10e0.0      |-0.25    |-0.25   |-0.25   
