Generation number | Error             | Integral
1                |-0.0166666666667 |0.25
2                |0.00944444444444 |0.391666666667
3                |0.00729495812829 |0.501091038591
4                |0.00501575584871 |0.576327376322
5                |0.00319989084848 |0.624325739049
6                |0.0019468683586 |0.653528764428
7                |0.00114700806651 |0.670733885426
8                |0.00066030494503 |0.680638459601
9                |0.000373554670331 |0.686241779656
10                |0.000208478651589 |0.68936895943
11                |0.000115090011183 |0.691095309598
12                |6.29703516816e-05 |0.692039864873
13                |3.41978493105e-05 |0.692552832613
14                |1.8455261443e-05 |0.692829661534
15                |9.9057991222e-06 |0.692978248521
16                |5.29198376193e-06 |0.693057628277
17                |2.81553398197e-06 |0.693099861287
18                |1.49253804058e-06 |0.693122249358
19                |7.88654545566e-07 |0.693134079176
20                |4.15520037015e-07 |0.693140311977
21                |2.1835639948e-07 |0.693143587323
22                |1.14476389013e-07 |0.693145304468
