
Function 2: f(x, y) = sin(x) - sin(y), x = 1.5
   (y-x)    |   error
10e-17.0      |0.0
10e-16.0      |0.0
10e-15.0      |3.24882324735e-17
10e-14.0      |-4.06728151262e-17
10e-13.0      |3.73610585927e-17
10e-12.0      |-2.2283577003e-17
10e-11.0      |-4.89861666901e-17
10e-10.0      |-4.57679683232e-17
10e-9.0      |-1.31416005523e-17
10e-8.0      |-2.37014766829e-17
10e-7.0      |-1.42552278398e-17
10e-6.0      |2.517711468e-17
10e-5.0      |-6.31182482514e-17
10e-4.0      |3.11081320209e-17
10e-3.0      |-4.89110705063e-17
10e-2.0      |-8.67361737988e-18
10e-1.0      |-6.67868538251e-17
10e0.0      |-5.55111512313e-17
     (x-y)     |    float64    |    float32    |    float16
10e-17.0      |0.0    |0.0   |0.0   
10e-16.0      |0.0    |0.0   |0.0   
10e-15.0      |-1.11022302463e-16    |0.0   |0.0   
10e-14.0      |-6.66133814775e-16    |0.0   |0.0   
10e-13.0      |-7.1054273576e-15    |0.0   |0.0   
10e-12.0      |-7.07212066686e-14    |0.0   |0.0   
10e-11.0      |-7.07323088989e-13    |0.0   |0.0   
10e-10.0      |-7.0736749791e-12    |0.0   |0.0   
10e-9.0      |-7.07371938802e-11    |0.0   |0.0   
10e-8.0      |-7.07371938802e-10    |0.0   |0.0   
10e-7.0      |-7.07371516917e-09    |-8.43252445648e-09   |0.0   
10e-6.0      |-7.07367029396e-08    |-6.74597988581e-08   |0.0   
10e-5.0      |-7.07322141857e-07    |-7.08282640316e-07   |0.0   
10e-4.0      |-7.06873268008e-06    |-7.06990483301e-06   |0.0   
10e-3.0      |-7.02384424264e-05    |-7.0241701363e-05   |-6.86036448868e-05   
10e-2.0      |-0.000657485893494    |-0.000657485314052   |-0.000643218115762   
10e-1.0      |-0.00207861643745    |-0.00207861574128   |-0.00208994623915   
10e0.0      |0.3990228425    |0.3990228425   |0.3990228425   
